TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-24 21:44:05,1771969445981,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Cron job sendEmails started...,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:05,1771969445981,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,POSTGRES_HOST: ep-young-forest-adums7if-pooler.c-2.us-east-1.aws.neon.tech,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446059,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,"DIAGNOSTIC - subscriptions table has 5 rows: [{""id"":18,""email"":""ogiberstein@gmail.com"",""app_id"":""com.vilcsak.bitcoin2""},{""id"":19,""email"":""ogiberstein@gmail.com"",""app_id"":""co.mona.Monaco""},{""id"":20,""email"":""ogiberstein@gmail.com"",""app_id"":""com.kraken.invest.app""},{""id"":21,""email"":""ogiberstein@gmail.com"",""app_id"":""com.polymarket.ios-app""},{""id"":22,""email"":""ogiberstein@gmail.com"",""app_id"":""app.phantom""}]",prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446060,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Fetching Top Free Finance chart from SerpApi...,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446205,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Successfully fetched and mapped 186 apps from the chart.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446220,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Loaded 2 rankings from yesterday for daily comparison.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446242,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Loaded 2 rankings from last week for weekly comparison.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446324,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Saved today's rankings for 5 tracked apps.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446329,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Found subscriptions for 2 distinct email(s) to process.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446330,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Processing email: ogiberstein@gmail.com,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446337,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Email sent successfully to ogiberstein@gmail.com. ID: 0a4b5443-a55c-4f69-83d9-c7a007be7048,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446337,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Email sent to ogiberstein@gmail.com,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446337,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Processing email: philip.paetz@me.com,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446465,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Email sent successfully to philip.paetz@me.com. ID: f0a14d29-fe4b-4eb7-b518-3116a7c17850,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446465,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Email sent to philip.paetz@me.com,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446465,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Cron job completed. Emails sent: 2. Errors: 0.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
2026-02-24 21:44:06,1771969446466,appstoreposition.com/api/cron/sendEmails,GET,,200,v58hj-1771969445445-30327c244b4d,curl/8.7.1,info,production,main,MISS,function,/api/cron/sendEmails,appstoreposition.com,app-store-notifier-5vhy1ll0l-oleg-gibersteins-projects.vercel.app,dpl_8pyxybno6RDYPPTWwHWrXCRh9naq,,,,,Cron job finishing.,prj_EjVRc9EErP4asKTgdTyoPgGPfIvx,,,,,
